1,1,3077,3077,3077,3077,3077,3077,3077,1,1
1,3077,3077,2839,1915,2839,1915,2839,3077,3077,1
3077,3077,2839,2438,2438,2438,2438,2438,2839,3077,3077
3077,2839,2438,5964,2183,1381,1474,5964,2438,2839,3077
3077,2438,5964,3342,2183,5665,1474,3342,5964,2438,3077
3077,1429,5964,3340,2183,1291,5665,3340,5964,1429,3077
3077,1429,2520,5964,2183,1291,1474,5964,5964,1429,3077
3077,1429,5964,3342,5665,1291,5665,3342,5964,1429,3077
3077,3077,5964,3340,3077,2899,3077,3340,2520,3077,3077
2839,3077,3077,5964,3077,2963,3077,5964,3077,3077,2839
2438,2839,3077,3077,3077,3077,3077,3077,3077,2839,2438
1,2438,2839,2839,2839,2839,2839,2839,2839,2438,1
1,1,2438,2438,2438,2438,2438,2438,2438,1,1
1,1,1,1,1,1,1,1,1,1,1
