69,69,69,69,69,69,69,69,69,93,91,92,69,69,69,93,91,92,69,69,93
69,70,70,70,70,92,70,70,124,70,66,70,124,70,70,93,66,70,70,70,120
93,94,71,71,71,93,94,71,71,71,74,94,71,71,71,93,74,94,71,71,120
93,11,14,11,62,70,95,99,99,62,99,62,62,99,99,120,59,99,125,125,120
93,12,121,12,99,10,62,99,99,99,99,99,99,99,99,120,59,99,99,99,120
93,121,121,121,95,95,99,7,99,7,99,7,99,7,99,120,95,95,95,110,120
69,1,1,1,69,93,59,15,99,15,99,15,99,15,99,92,69,69,69,69,93
70,70,70,92,69,93,59,99,99,99,99,99,99,99,99,92,69,69,70,70,70
94,71,71,92,69,93,95,95,95,95,95,95,95,95,62,92,69,93,94,71,71
87,87,91,92,69,69,69,69,69,69,69,69,69,69,69,69,69,93,87,87,87
88,88,65,70,70,70,70,70,70,124,70,124,70,70,70,70,70,70,88,88,88
88,88,65,10,71,71,71,71,71,71,113,71,71,71,71,71,71,71,88,88,88
