1,1,5881,5881,5881,5881,5881,5881,5881,5911,5911,1,1
1,5881,5881,2744,2744,2744,2744,2744,2744,2744,5911,5911,1
5881,5881,2744,2744,2744,2744,2744,2744,2744,2744,2744,5911,5911
5881,2744,2744,54,54,54,4675,54,54,54,2744,2744,5911
5881,5881,4675,54,54,54,2626,54,54,54,4675,5911,5911
2744,5881,5881,54,54,54,3940,54,54,54,5911,5911,2744
2744,2744,5881,5881,5881,54,54,54,5911,5911,5911,2744,2744
1,2744,2744,2744,5881,5881,5911,5911,5911,2744,2744,2744,1
1,1,2744,2744,2744,2744,2744,2744,2744,2744,2744,1,1
1,1,1,1,2744,2744,2589,2744,2744,1,1,1,1
