73,92,69,69,69,69,69,69,73
92,69,94,2,28,2,2,92,69
69,94,2,2,2,2,2,2,92
69,94,95,59,59,59,97,2,92
69,59,59,33,59,33,59,97,69
69,59,33,97,98,59,33,97,69
92,69,59,59,59,59,97,92,69
94,92,69,59,59,97,92,69,94
94,2,92,69,69,69,69,94,2
73,2,2,2,2,2,2,2,73
73,73,2,2,127,2,2,73,73
73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73
73,73,73,73,73,73,73,73,73
92,69,69,69,69,69,69,73,73
69,94,26,26,26,2,92,73,73
69,9,2,2,2,2,92,73,73
69,122,125,2,59,125,69,73,73
69,30,30,30,30,30,69,73,73
69,65,65,65,65,65,69,73,73
69,59,59,59,59,97,69,73,73
92,69,69,69,69,69,69,73,73
94,2,2,2,2,2,2,73,73
94,2,2,127,2,2,2,73,73
