2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1
2,2,2,2,1,1,69,1,1,2,2,2,2,2,2,1,125
122,122,122,122,1,1,85,1,1,122,122,122,122,125,122,1,1
122,122,122,124,2,2,66,2,2,122,122,122,122,122,122,1,1
122,122,122,124,2,2,74,2,2,122,122,122,122,122,122,1,1
122,122,122,122,122,122,123,122,122,122,122,122,122,122,122,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,1,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,1,1
122,49,122,122,122,10,122,122,122,122,122,122,122,122,122,1,1
1,125,122,122,122,122,122,122,122,122,122,122,122,122,122,1,1
1,1,1,122,122,122,122,122,122,122,122,122,122,122,10,1,1
