86,86,86,86,86,86,86,86,86,128,6,89,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
86,86,86,86,86,86,86,86,86,86,109,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
86,86,86,86,86,86,86,86,86,86,16,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
86,86,86,86,86,86,86,86,86,86,88,86,86,86,89,89,89,89,89,89,89,89,86,86,86,86,86,86
89,89,89,89,89,89,89,89,89,89,88,89,89,89,109,92,92,111,111,111,111,21,89,89,89,86,86,86
111,111,111,111,92,111,111,111,111,111,25,65,111,111,111,92,111,111,111,111,111,111,111,111,13,81,86,86
111,111,111,111,111,111,111,111,73,70,25,92,111,111,111,111,111,111,111,73,73,28,94,111,111,68,86,86
119,119,119,119,119,119,119,119,73,73,73,92,119,119,119,119,119,119,28,73,28,28,28,92,119,119,119,86
119,68,68,68,68,68,68,68,121,123,123,71,120,68,68,68,68,68,67,123,124,123,124,73,120,68,68,68
120,92,92,92,92,92,92,92,121,123,123,92,92,92,92,92,28,67,123,123,124,37,123,124,120,92,92,92
120,92,92,92,92,92,92,92,121,123,123,92,92,92,92,92,28,26,123,123,123,123,124,95,124,92,92,92
119,119,119,119,119,119,119,121,123,123,123,122,123,123,123,123,123,123,123,123,123,123,124,23,124,119,119,119
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,95,123,123,124,50,123,123,124,119,119,13
119,119,119,119,119,119,119,119,119,92,92,92,119,119,119,119,119,95,123,123,49,50,123,95,119,119,119,85
111,119,111,111,111,111,111,111,111,111,92,92,111,111,111,111,111,111,95,98,98,98,95,111,111,111,85,86
111,68,111,111,111,111,111,111,111,92,92,92,111,111,111,111,111,111,111,111,111,111,111,111,111,85,86,86
109,109,85,109,109,109,109,109,109,109,109,109,109,109,115,119,119,119,119,119,119,111,109,109,85,86,86,86
