5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881
5881,3301,3301,2744,2744,2744,2744,3301,3301,3301,5881
5881,3301,3301,2744,2744,2744,2744,2744,3301,3301,5881
5881,54,54,54,54,54,54,54,54,153,5881
5881,5881,5881,5881,54,2828,54,5881,5881,5881,5881
5881,2744,2744,3301,1313,1464,1313,3301,2744,2744,5881
5881,2744,2744,2744,375,375,375,2744,2744,2744,5881
5881,54,54,54,54,54,54,54,54,54,5881
5881,54,54,54,54,54,54,54,54,54,5881
5881,5881,5881,5881,54,54,54,5881,5881,5881,5881
2744,2744,2744,5881,54,54,54,5881,2744,2744,2744
2744,2744,2744,5881,5881,5881,5881,5881,2744,2744,2744
1,1,1,2744,2744,2744,2744,2744,1,1,1
1,1,1,2744,2744,2589,2744,2744,1,1,1
