1,5964,5964,5964,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5964,2345,5964,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5964,5964,5964,1,1,1,1,1,1,1,1,1,1,1,1,1
2854,3077,1062,3077,1,1,1,1,1,1,1,1,1,1,1,1,1
2854,3077,1062,3077,1,1,1,1,1,1,1,1,1,1,1,1,1
12,2839,1062,2839,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1915,1062,1915,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2438,1062,2438,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2438,1062,2438,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2438,2426,2438,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2438,2880,2438,1,1,1,1,1,1,1,1,1,1,5964,5964,5964
1,5964,5964,5964,1,1,1,1,1,1,1,1,1,1,5964,1611,1611
5964,5964,5964,5964,5964,1,1,1,1,1,1,1,1,1,5964,1611,1611
1,5964,5964,5964,1,1,1,1,1,1,1,1,1,1,5964,1611,1611
1,1,5964,1,1,1,1,1,1,1,1,1,1,1,5964,5964,5964
