112,112,112,112,112,112,112,112,112,112,112
112,94,94,94,94,94,94,94,94,94,112
112,97,97,97,97,97,97,11,3,11,112
112,97,112,97,52,97,97,99,97,99,112
112,97,112,60,41,60,97,97,97,60,112
112,97,112,112,112,112,112,112,112,112,112
112,97,112,94,94,94,94,94,94,94,112
112,97,112,124,124,97,97,11,3,11,112
112,97,94,97,97,97,97,99,97,99,112
112,97,97,97,97,97,97,97,97,97,112
112,97,112,112,112,112,112,112,112,112,112
112,97,94,94,94,94,112,94,94,94,112
112,115,94,94,94,94,112,94,42,94,112
112,66,94,94,113,94,112,94,94,94,112
112,97,97,97,97,97,94,97,97,97,112
112,97,97,97,97,97,94,30,30,30,112
112,124,97,97,97,97,94,65,65,65,112
112,124,124,97,97,97,97,97,97,97,112
112,112,112,112,112,112,112,112,112,112,112
94,94,94,94,94,94,94,94,94,94,94
94,94,94,94,94,94,94,94,94,94,94
94,94,94,94,94,127,94,94,94,94,94
