3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605
3605,4624,4382,4624,4624,4624,4624,4624,4624,4624,4624,4624,4382,4624,3605
3605,4888,4176,4888,4888,4888,4888,4506,4888,4888,4888,4888,4176,4888,3605
3605,4382,4176,4382,3602,3424,4145,4496,4452,3424,4144,4382,4176,4382,3605
3605,3415,3415,3415,3616,3861,3618,5668,4798,3861,4522,3415,3415,3415,3605
3605,3415,3415,3415,4382,4382,3424,4725,3424,4382,4382,3415,3415,3415,3605
3605,3415,5002,2518,3415,3415,3861,3861,3861,3415,3415,2518,5002,3415,3605
3605,3415,5002,5456,2518,3415,4382,5002,4382,3415,2518,5456,5002,3415,3605
3605,3415,4382,5002,5456,5002,3415,5002,3415,5002,5456,5002,4382,3415,3605
3605,3415,3415,4382,5002,4382,5002,5002,5002,4382,5002,4382,3415,3415,3605
3605,3415,3415,3415,4382,3415,3605,4166,3605,3415,4382,3415,3415,3415,3605
3605,3415,3415,3415,3415,3415,3605,4045,3605,3415,3415,3415,3415,3415,3605
3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605
4624,4624,4624,4624,4624,4624,4624,4624,4624,4624,4624,4624,4624,4624,4624
4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888
