1,1,1,1,1,1,1,4502,4502,4502,4502,4502,1,1,1,1,1,1
1,1,1,4215,4215,4215,4502,4502,4502,1,4502,4502,4502,4215,4215,4215,1,1
1,1,4215,4215,3689,4215,4399,4502,4502,3505,4502,4502,4399,4215,3689,4215,4215,1
1,4215,4215,4215,4409,4215,4289,4399,4399,4009,4399,4399,4289,4215,4409,4215,4215,4215
1,4215,4215,4215,4215,4215,4215,4289,4289,4215,4289,4289,4215,4215,4215,4215,4215,4215
1,4215,4215,4215,4215,3689,4215,4215,4215,4215,4215,4215,4215,3689,4215,4215,4215,4215
1,3805,4215,4215,4215,4409,4215,4215,4215,4215,4215,4215,4215,4409,4215,4215,4215,3805
1,1,3805,4215,4215,4215,4215,3689,4215,4215,4215,3689,4215,4215,4215,4215,3805,1
1,1,1,3805,4215,4215,4215,4409,4215,4215,4215,4409,4215,4215,4215,3805,1,1
1,1,1,1,3805,3805,4215,4215,4215,4215,4215,4215,4215,3805,3805,1,1,1
1,1,1,1,1,1,3805,3805,3805,3805,3805,4215,3805,1,1,1,1,1
1,1,1,1,1,4215,4215,4215,4215,4215,1,4215,1,1,1,1,1,1
1,1,1,4215,4215,4215,3805,3805,3805,3805,1,3805,1,1,1,1,1,1
1,1,1,4215,3805,3805,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,4215,4215,4215,1,1,1,1,1,4215,4215,1,1,1,1,1
1,1,1,3805,3805,4215,4215,4215,4215,1,1,4215,3805,1,1,1,1,1
1,1,1,1,1,3805,3805,3805,4215,1,1,4215,1,1,1,1,1,1
1,1,1,1,1,1,1,1,4215,1,4215,4215,4215,1,1,1,1,1
1,1,1,1,1,1,1,1,3805,1,3805,3805,3805,1,1,1,1,1
1,1,1,4215,4215,4215,1,1,1,4215,4215,4215,4215,1,1,1,1,1
1,1,1,4215,3805,3805,1,1,1,3805,3805,3805,4215,1,1,1,1,1
1,1,1,4215,1,1,1,1,1,1,1,1,4215,1,1,1,4215,1
1,1,1,4215,1,1,1,1,1,1,1,1,4215,1,1,4215,4215,1
1,1,1,4215,4215,4215,1,1,4215,4215,1,1,3805,1,1,3805,4215,1
1,1,1,3805,3805,3805,1,1,3805,4215,1,1,1,1,1,1,4215,1
1,1,1,1,4215,4215,4215,4215,1,4215,1,4215,4215,4215,4215,4215,4215,1
1,1,1,1,4215,3805,3805,3805,1,4215,1,3805,3805,4215,3805,3805,3805,1
1,1,1,1,4215,1,1,1,1,4215,1,1,1,4215,1,1,1,1
1,1,1,1,4215,4215,4215,4215,1,4215,1,4215,4215,4215,1,1,1,1
1,1,1,1,3805,3805,3805,3805,1,4215,1,3805,3805,3805,1,1,1,1
1,1,1,1,1,1,1,1,1,4121,1,1,1,1,1,1,1,1
