91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,117
91,92,70,92,70,70,70,70,70,70,70,70,70,92,70,120,117
91,120,59,120,59,99,99,95,95,95,99,99,99,120,110,120,117
91,120,59,120,59,95,99,92,69,93,59,95,99,120,59,120,117
91,120,59,120,95,120,59,120,91,120,59,120,95,120,59,120,117
91,120,59,92,68,93,59,92,66,93,59,92,69,93,59,120,117
104,120,59,92,70,120,59,92,74,93,59,120,91,120,59,120,76
92,93,59,120,59,120,59,70,95,70,95,92,66,93,59,92,93
70,120,59,70,95,120,59,99,99,99,99,92,74,70,95,92,70
53,68,95,95,95,120,95,95,118,95,95,120,95,95,95,68,76
92,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,93
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
