1,5913,5913,5913,5913,5913,5913,5913,1
5913,5913,2744,2744,2917,2744,2744,5913,5913
5913,2744,2744,2744,2744,2744,2744,2744,5913
5913,2744,54,54,54,54,54,2744,5913
5913,54,54,4782,2626,4782,54,54,5913
5913,54,4782,54,3940,54,4782,54,5913
5913,5913,54,54,54,54,54,5913,5913
2744,5913,5913,54,54,54,5913,5913,2744
2744,2744,5913,5913,5913,5913,5913,2744,2744
1,2744,2744,2744,2744,2744,2744,2744,1
1,1,2744,2744,2589,2744,2744,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
5913,5913,5913,5913,5913,5913,5913,1,1
5913,2744,1012,1012,1012,2744,5913,1,1
5913,1696,2744,2744,2744,2744,5913,1,1
5913,360,153,54,54,153,5913,1,1
5913,1313,1313,1313,1313,1313,5913,1,1
5913,375,375,375,375,375,5913,1,1
5913,54,54,54,54,54,5913,1,1
5913,5913,5913,5913,5913,5913,5913,1,1
2744,2744,2744,2744,2744,2744,2744,1,1
2744,2744,2744,2589,2744,2744,2744,1,1
