1,1,1,1,1,1,6007,3398,6006,1,1,1,1,1,1
1,1,1,1,1,1,3580,5684,4649,1,1,1,1,1,1
1,1,1,1,1,1,5995,2795,3021,1,1,1,1,1,1
1,1,1,1,1,1,2664,2664,2664,1,1,1,1,1,1
1,1,1,1,1,4021,4274,2664,4274,4021,1,1,1,1,1
4021,4021,4021,4021,4021,4021,4411,1,4411,4021,4021,4021,4021,4021,4021
4021,4335,4335,4335,4335,4021,4274,2664,4274,4021,4335,4335,4335,4335,4021
4021,3542,3542,3542,3542,4335,4411,1,4411,4335,3542,3542,3542,3542,4021
4021,1,1,1,1,3542,1,1,1,3542,1,1,1,1,4021
4021,4021,1,1,1,1,1,1,1,1,1,1,1,4021,4021
4335,4021,4021,4021,1,1,1,1,1,1,1,4021,4021,4021,4335
3542,4335,4335,4021,4021,4021,1,1,1,4021,4021,4021,4335,4335,3542
1,3542,3542,4335,4335,4021,1,1,1,4021,4335,4335,3542,3542,1
1,1,1,3542,3542,4021,1,1,1,4021,3542,3542,1,1,1
1,1,1,1,1,4021,1,1,1,4021,1,1,1,1,1
1,1,1,1,1,4021,1,1,1,4021,1,1,1,1,1
1,1,1,1,1,4021,2503,2664,2503,4021,1,1,1,1,1
1,1,1,1,1,4021,4021,1,4021,4021,1,1,1,1,1
1,1,1,1,1,4335,4021,1,4021,4335,1,1,1,1,1
1,1,1,1,1,3542,4021,1,4021,3542,1,1,1,1,1
1,1,1,1,1,1,4021,1,4021,1,1,1,1,1,1
1,1,1,1,1,1,4021,1,4021,1,1,1,1,1,1
1,1,1,1,1,1,4021,1,4021,1,1,1,1,1,1
1,1,1,1,1,1,4021,1,4021,1,1,1,1,1,1
1,1,1,1,1,1,4021,1,4021,1,1,1,1,1,1
1,1,1,1,1,1,4021,4021,4021,1,1,1,1,1,1
1,1,1,1,1,1,4335,4335,4335,1,1,1,1,1,1
1,1,1,1,1,1,3542,3542,3542,1,1,1,1,1,1
