5676,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022,4022
4022,4337,4337,4337,4337,4337,4022,4022,4022,4022,4022,4022,4022,4337,4337,4337,4337,4337,4022
4022,2879,2879,2879,2879,2879,4337,4022,4022,4022,4022,4022,4337,2879,2879,2879,2879,2879,4022
4022,3363,3363,3498,3485,4186,2879,4337,4022,4022,4022,4337,2879,3498,3485,4186,3363,3363,4022
4022,3363,3555,720,2504,3956,4002,2879,4022,4022,4022,2879,3555,720,2504,3956,4002,3363,4022
4022,3363,3555,3884,3201,3936,4002,3363,4337,4030,4337,3363,3555,3884,3201,3936,4002,3363,4022
4022,3363,3552,3385,3420,3385,3999,3363,2879,5671,2879,3363,3552,3385,4351,3385,3999,3363,4022
4022,3363,3363,3363,3498,3485,4186,3363,3363,3363,3363,3363,3498,3485,4186,3363,3363,3363,4022
4022,3363,3363,3555,720,2504,3956,4002,3363,3363,3363,3555,720,2504,3956,4002,3363,3363,4022
4022,3363,3363,3555,3884,3201,3936,4002,3363,3363,3363,3555,3884,3201,3936,4002,3363,3363,4022
4022,3363,3363,3552,3385,3420,3385,3999,3363,3363,3363,3552,3385,4351,3385,3999,3363,3363,4022
4022,3363,3363,3363,3363,3363,3363,3363,3498,3485,4186,3363,3363,3363,3363,3363,3363,3363,4022
4022,4022,4022,4022,4022,4022,3363,3555,720,2504,3956,4002,3363,4022,4022,4022,4022,4022,4022
4337,4337,4337,4337,4337,4022,3363,3555,3884,3201,3936,4002,3363,4022,4337,4337,4337,4337,4337
2879,2879,2879,2879,2879,4022,3363,3552,3385,3420,3385,3999,3363,4022,2879,2879,2879,2879,2879
1,1,1,1,1,4022,3363,3363,3363,3363,3363,3363,3363,4022,1,1,1,1,1
1,1,1,1,1,4022,4022,4022,3363,3363,3363,4022,4022,4022,1,1,1,1,1
1,1,1,1,1,4337,4337,4022,4022,3363,4022,4022,4337,4337,1,1,1,1,1
1,1,1,1,1,2879,2879,4337,4022,3363,4022,4337,2879,2879,1,1,1,1,1
1,1,1,1,1,1,1,2879,4022,4165,4022,2879,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,4022,4048,4022,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,4022,4022,4022,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,4337,4337,4337,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2879,2879,2879,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
