112,112,112,112,112,112,112,112,112,112,112,73,73,73,73,73,73,73,73,73,73,73,73,73,73
112,2,2,2,2,2,2,2,2,2,112,73,73,73,73,73,73,73,73,112,112,112,112,89,112
112,2,2,2,51,2,51,2,51,2,112,73,73,73,73,73,73,73,73,2,2,2,2,102,112
112,5,5,97,97,97,97,97,97,97,112,73,73,73,73,73,73,73,73,2,2,2,2,66,112
112,5,5,97,97,97,97,97,97,97,112,73,73,73,73,73,73,73,73,97,97,97,97,97,112
112,5,5,5,97,97,97,97,97,97,112,73,73,73,73,73,73,73,73,112,97,97,97,97,112
112,5,5,5,5,97,97,97,97,97,112,73,73,73,73,73,73,73,73,112,112,112,112,112,112
112,112,112,112,112,112,112,112,112,112,112,73,73,73,73,73,73,73,73,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,73,73,73,73,73,73,73,73,2,2,2,2,2,2
2,2,2,2,2,2,2,2,105,2,2,73,73,73,73,73,73,73,73,73,73,73,73,73,73
