row,col,tile_id,mode,score
0,0,2,inner_exact,0
0,1,2,inner_exact,0
0,2,2,inner_exact,0
0,3,2,inner_exact,0
0,4,1,nearest,2
0,5,1,nearest,12
0,6,1,nearest,22
0,7,1,nearest,55
0,8,1,nearest,80
0,9,2,nearest,4
0,10,2,nearest,8
0,11,2,nearest,12
0,12,2,nearest,23
0,13,2,nearest,58
0,14,2,nearest,79
0,15,1,nearest,295
0,16,1,nearest,380
1,0,2,inner_exact,0
1,1,2,inner_exact,0
1,2,2,inner_exact,0
1,3,2,inner_exact,0
1,4,1,nearest,2
1,5,1,nearest,12
1,6,69,nearest,22
1,7,1,nearest,55
1,8,1,nearest,80
1,9,2,nearest,4
1,10,2,nearest,8
1,11,2,nearest,12
1,12,2,nearest,23
1,13,2,nearest,58
1,14,2,nearest,79
1,15,1,nearest,295
1,16,125,nearest,85011
2,0,122,inner_exact,0
2,1,122,inner_exact,0
2,2,122,inner_exact,0
2,3,122,inner_exact,0
2,4,1,nearest,2
2,5,1,nearest,12
2,6,85,inner_exact,0
2,7,1,nearest,55
2,8,1,nearest,80
2,9,122,inner_exact,0
2,10,122,inner_exact,0
2,11,122,inner_exact,0
2,12,122,inner_exact,0
2,13,125,nearest,85249
2,14,122,nearest,1
2,15,1,nearest,292
2,16,1,nearest,380
3,0,122,inner_exact,0
3,1,122,inner_exact,0
3,2,122,inner_exact,0
3,3,124,inner_exact,0
3,4,2,inner_exact,0
3,5,2,inner_exact,0
3,6,66,inner_exact,0
3,7,2,inner_exact,0
3,8,2,inner_exact,0
3,9,122,inner_exact,0
3,10,122,inner_exact,0
3,11,122,inner_exact,0
3,12,122,inner_exact,0
3,13,122,inner_exact,0
3,14,122,nearest,1
3,15,1,nearest,292
3,16,1,nearest,380
4,0,122,inner_exact,0
4,1,122,inner_exact,0
4,2,122,inner_exact,0
4,3,124,inner_exact,0
4,4,2,inner_exact,0
4,5,2,inner_exact,0
4,6,74,inner_exact,0
4,7,2,inner_exact,0
4,8,2,inner_exact,0
4,9,122,inner_exact,0
4,10,122,inner_exact,0
4,11,122,inner_exact,0
4,12,122,inner_exact,0
4,13,122,inner_exact,0
4,14,122,nearest,1
4,15,1,nearest,292
4,16,1,nearest,380
5,0,122,inner_exact,0
5,1,122,inner_exact,0
5,2,122,inner_exact,0
5,3,122,inner_exact,0
5,4,122,inner_exact,0
5,5,122,inner_exact,0
5,6,123,inner_exact,0
5,7,122,inner_exact,0
5,8,122,inner_exact,0
5,9,122,inner_exact,0
5,10,122,inner_exact,0
5,11,122,inner_exact,0
5,12,122,inner_exact,0
5,13,122,inner_exact,0
5,14,122,nearest,1
5,15,1,nearest,292
5,16,1,nearest,380
6,0,122,inner_exact,0
6,1,122,inner_exact,0
6,2,122,inner_exact,0
6,3,122,inner_exact,0
6,4,122,inner_exact,0
6,5,122,inner_exact,0
6,6,122,inner_exact,0
6,7,122,inner_exact,0
6,8,122,inner_exact,0
6,9,122,inner_exact,0
6,10,122,inner_exact,0
6,11,122,inner_exact,0
6,12,122,inner_exact,0
6,13,122,inner_exact,0
6,14,122,nearest,1
6,15,1,nearest,292
6,16,1,nearest,380
7,0,122,inner_exact,0
7,1,122,inner_exact,0
7,2,122,inner_exact,0
7,3,122,inner_exact,0
7,4,122,inner_exact,0
7,5,122,inner_exact,0
7,6,122,inner_exact,0
7,7,122,inner_exact,0
7,8,122,inner_exact,0
7,9,122,inner_exact,0
7,10,122,inner_exact,0
7,11,122,inner_exact,0
7,12,122,inner_exact,0
7,13,122,inner_exact,0
7,14,122,nearest,1
7,15,1,nearest,292
7,16,1,nearest,380
8,0,122,inner_exact,0
8,1,49,inner_exact,0
8,2,122,inner_exact,0
8,3,122,inner_exact,0
8,4,122,inner_exact,0
8,5,10,nearest,88
8,6,122,inner_exact,0
8,7,122,inner_exact,0
8,8,122,inner_exact,0
8,9,122,inner_exact,0
8,10,122,inner_exact,0
8,11,122,inner_exact,0
8,12,122,inner_exact,0
8,13,122,inner_exact,0
8,14,122,nearest,1
8,15,1,nearest,292
8,16,1,nearest,380
9,0,1,inner_exact,0
9,1,125,nearest,65
9,2,122,inner_exact,0
9,3,122,inner_exact,0
9,4,122,inner_exact,0
9,5,122,inner_exact,0
9,6,122,inner_exact,0
9,7,122,inner_exact,0
9,8,122,inner_exact,0
9,9,122,inner_exact,0
9,10,122,inner_exact,0
9,11,122,inner_exact,0
9,12,122,inner_exact,0
9,13,122,inner_exact,0
9,14,122,nearest,1
9,15,1,nearest,292
9,16,1,nearest,380
10,0,1,inner_exact,0
10,1,1,inner_exact,0
10,2,1,inner_exact,0
10,3,122,inner_exact,0
10,4,122,inner_exact,0
10,5,122,inner_exact,0
10,6,122,inner_exact,0
10,7,122,inner_exact,0
10,8,122,inner_exact,0
10,9,122,inner_exact,0
10,10,122,inner_exact,0
10,11,122,inner_exact,0
10,12,122,inner_exact,0
10,13,122,inner_exact,0
10,14,10,nearest,559
10,15,1,nearest,294
10,16,1,nearest,380
