5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141
5141,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5071,5141
5141,5085,5085,5085,5085,5085,5085,5085,2518,5085,5085,5085,5085,5085,5085,5141
5141,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,5141
5141,5141,5141,5141,1678,1678,1678,1678,1678,5141,5141,5141,5141,1678,5141,5141
5141,5071,5071,5141,1678,5141,5141,5141,1678,5141,5071,5071,5141,5408,5141,5141
5141,5085,5085,5141,1678,5141,5141,5141,1678,5141,5085,2518,5141,5029,5141,5141
5141,1678,162,5141,1678,5141,1,5141,1678,5141,1678,1678,5141,5141,5141,5141
5141,1678,1678,5141,1678,5141,4978,5141,1678,5141,1678,1678,5141,5141,5141,5141
5141,1678,1678,5141,5141,5141,5375,5141,5141,5141,1678,1678,5306,5071,5306,5141
5141,1678,1678,5306,5071,5306,1678,5306,5071,5306,1678,1678,5306,5085,5306,5141
5141,1678,1678,5306,5085,5306,1678,5306,5085,5306,1678,1678,1678,1678,1678,5141
5141,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678,5141
5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141,5141
