5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881
5881,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,5926,2744,5881
5881,2744,2744,2744,2744,5881,2744,2744,2744,5881,2744,2744,1695,5881
5881,2258,4440,4440,2508,5881,1550,2828,1550,5881,2151,2828,1854,5881
5881,54,4264,4264,54,5881,1464,1464,1464,5881,1464,1464,1464,5881
5881,54,54,54,54,5881,673,673,673,2744,673,673,673,5881
5881,279,279,54,54,5881,54,54,54,54,54,54,54,5881
5881,5881,5881,5881,5881,5881,54,54,54,5881,5881,5881,5881,5881
2744,2744,2744,2744,2744,5881,54,54,54,5881,2744,2744,2744,2744
2744,2744,2744,2744,2744,5881,5881,5881,5881,5881,2744,2744,2744,2744
1,1,1,1,1,2744,2744,2744,2744,2744,1,1,1,1
1,1,1,1,1,2744,2744,2586,2744,2744,1,1,1,1
