93,112,112,112,112,112,112
93,2,70,112,112,112,112
2,2,70,112,112,112,112
2,124,125,112,112,112,112
125,122,122,112,112,112,112
121,122,122,112,112,112,112
121,122,122,112,112,112,112
121,122,122,112,112,112,112
121,122,122,112,112,112,112
121,122,122,112,112,112,112
93,121,122,112,112,112,112
93,112,121,112,112,112,112
93,112,121,112,112,112,112
93,112,121,112,112,112,112
93,112,121,112,112,112,112
93,112,121,112,112,112,112
2,2,98,112,112,112,112
2,2,98,112,112,112,112
121,122,49,112,112,112,112
121,112,112,112,112,112,112
121,112,112,112,112,112,85
121,70,112,112,112,112,101
121,70,112,112,112,112,74
121,122,112,112,112,112,121
93,121,70,112,112,112,121
93,121,2,2,2,2,98
93,121,122,2,2,2,98
93,112,121,122,122,122,49
