1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5881,5881,5881,5881,5881,1,1
1,5881,5881,5881,5881,5881,1,1,1,1,1,1,1,1,1,1,1,5881,2744,719,2744,5881,5881,5881
5881,5881,2744,2744,2744,5881,5881,1,1,1,1,1,1,1,1,1,5881,5881,1694,2744,1694,2744,2744,5881
5881,2744,153,153,153,2744,5881,1,1,1,1,1,1,1,1,1,5881,2744,235,878,235,2744,2744,5881
5881,153,54,54,54,153,2744,1,1,1,1,1,1,1,1,1,5881,2744,54,5475,54,2828,2828,5881
5881,153,54,5150,54,54,54,1,1,1,1,1,1,1,1,1,5881,54,54,54,54,2828,2828,5881
5881,153,54,54,54,153,5881,1,1,1,1,1,1,1,1,1,5881,5881,54,54,54,5881,5881,5881
5881,5881,153,153,153,5881,5881,1,1,1,1,1,1,1,1,1,2744,5881,5881,5881,5881,5881,2744,2744
2744,5881,5881,5881,5881,5881,2744,1,1,1,1,1,1,1,1,1,2744,2744,2744,2744,2744,2744,2744,2744
1,2744,2744,2744,2744,2744,1,1,1,1,1,1,1,1,1,1,1,2744,2744,3797,2744,2744,1,1
