120,120,120,93,93,93,93,93,93,93,120
120,120,93,2,2,2,2,2,2,70,92
120,112,93,2,2,71,2,2,2,70,92
120,120,120,121,122,122,122,122,122,122,92
120,120,120,121,122,122,122,122,122,122,92
120,120,120,120,120,120,120,120,120,121,92
120,120,120,120,120,120,120,120,120,121,92
120,120,120,120,120,120,120,120,120,121,92
120,120,120,120,120,120,120,120,120,121,92
120,120,120,120,120,120,120,120,120,121,92
120,120,120,120,120,120,120,120,120,121,92
120,120,120,120,120,120,120,120,120,121,92
120,120,120,120,120,120,120,120,120,121,92
120,120,92,120,120,120,120,120,120,121,92
92,120,85,92,93,93,93,93,120,121,92
2,2,66,2,2,2,2,2,2,98,92
2,2,74,2,2,2,2,2,2,98,92
122,122,123,122,122,122,122,122,122,122,120
