1,1,1,1,4774,1,4774,1,1,1
1,1,1,1,3566,1,3566,1,1,1
1,1,1,1,4293,1,4293,1,1,1
1,1,1,2664,5996,1,5996,2664,1,1
1,1,4774,1,3515,4376,3917,1,4774,1
1,1,3566,1,4062,4800,4542,1,3566,1
1,1,4293,1,3914,4401,4544,1,4293,1
1,1,5996,2664,1,1,1,2664,5996,1
1,1161,1,1161,1,1,1,1161,1,1161
4774,1,1161,1,1,1161,1,1,1161,1
3566,1,1,1,1,1161,1,1,1,1
4293,1,1,1,1,1161,1,1,1,1
5996,1,1,1161,1,1161,1,1161,1,1
1,1,1,1,1,1161,1,1,1,1
4774,1,1,1,1,1,1,1,1,1
3566,1,1,1,1,1,1,1,1,1
4293,1,1,1,1161,1,1161,1,1,1
5996,1161,1,1,1,1,1,1,1,1161
1,1,1,1,1,1,1,1,1,1
4774,1,1161,1,1,1161,1,1,1161,1
3566,1,1,1,1,1,1,1,1,1
4293,1,1,1161,1,1161,1,1161,1,1
5996,1,1,1,1,1161,1,1,1,1
1,1,1,1,1,1161,1,1,1,1
4774,1,1,1161,1,1,1,1161,1,1
3566,1,1,1,1,1,1,1,1,1
4293,1,1,1,1,1,1,1,1,1
5996,1,1,1,4774,1,4774,1,1,1
1,1,1,1,3566,1,3566,1,1,1
1,1,1,1,4293,4122,4293,1,1,1
1,1,1,1,5996,3522,5996,1,1,1
