1,4847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3847,3847,3847,3847,1,1
1,4027,1,1,1,1,1,1,3847,3847,3847,3847,3847,3847,3847,1,1,1,1,1,1,3847,3847,3847,3847,4368,4368,3847,3847,3847
3847,3507,3847,1,1,1,1,1,3847,4368,4368,4368,4368,4368,3847,1,1,1,1,1,1,3847,4368,4368,4368,4368,4368,4368,4368,3847
3847,4011,3847,1,1,1,1,3847,3847,4368,4368,4368,4368,4368,3847,3847,3847,3847,3847,3847,3847,3847,4368,4368,4368,1249,1249,4368,4368,3847
3847,1249,3847,3847,3847,3847,3847,3847,4368,1249,1249,1249,1249,1249,4368,4368,4368,4368,4368,4368,4368,4368,1249,1249,1249,1249,1249,1249,1249,3847
3847,1249,4368,4368,4368,4368,4368,4368,4368,1249,1249,1249,1249,1249,4368,4368,4368,4368,4368,4368,4368,4368,1249,1249,1249,1249,1249,1249,1249,3847
3847,1249,4368,4368,4368,4368,4368,4368,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,3847,4123,3847
3847,1249,1249,1249,1249,1249,1249,1249,1249,3847,3847,3847,3847,3847,3847,3847,3847,3847,3847,3847,3847,3847,3847,3847,1249,1249,1249,3847,3521,3847
3847,3847,3847,3847,3847,3847,3847,3847,3847,3847,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,3847,3847,3847,3847,3847,3847,3847
4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,4368
4368,4368,4368,4368,4368,4368,4368,4368,4368,4368,1,1,1,1,1,1,1,1,1,1,1,1,1,4368,4368,4368,4368,4368,4368,4368
