1,3077,3077,3077,3077,3077,1,1,1,3077,3077,3077,3077,3077,1
3077,3077,2838,2838,2838,3077,3077,1,3077,3077,2838,2838,2838,3077,3077
3077,2838,60,60,60,2838,3077,1,3077,2838,60,60,60,2838,3077
3077,1050,60,60,60,60,3077,1,3077,60,60,60,60,60,3077
3077,3077,60,60,60,3077,3077,1,3077,3077,60,60,60,3077,3077
2838,3077,3077,3077,3077,3077,2838,1,2838,3077,3077,3077,3077,3077,2838
1098,2838,2838,2838,2838,2838,1098,1,1098,2838,2838,2838,2838,2838,1098
1,1098,1098,1098,1098,1098,1,1,1,1098,1098,1098,1098,1098,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3077,3077,1,3077,3077,1,1,1,3077,3077,3077,3077,3077,1
3077,3077,3077,2426,3077,3077,3077,1,3077,3077,2838,2838,2838,3077,3077
3077,2838,2838,2880,2838,2838,3077,1,3077,2838,60,60,60,2838,3077
3077,60,60,60,60,60,3077,1,3077,60,60,60,60,60,3077
3077,3077,60,60,60,3077,3077,1,3077,3077,60,60,60,3077,3077
2838,3077,3077,3077,3077,3077,2838,1,2838,3077,3077,3077,3077,3077,2838
1098,2838,2838,2838,2838,2838,1098,1,1098,2838,2838,2838,2838,2838,1098
1,1098,1098,2582,1098,1098,1,1,1,1098,1098,1098,1098,1098,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
