2041,2041,2041,2041,2041,2041,2041,1,1,1,1,1,1,1,2041,2041,2041,2041,2041,2041
2041,2041,2041,2187,2136,2187,2041,1,1,1,1,1,1,1,2041,2187,2136,2187,2041,2187
2041,1,2041,2187,2273,2187,2041,1,1,1,1,1,1,1,2041,2187,2273,2187,2041,2187
2041,1473,2041,1883,1883,1883,2041,2041,2041,2041,2041,2041,2041,2041,2041,1883,1883,1883,2041,1883
2041,2043,2041,1883,2041,1883,2041,2187,2187,2187,2136,2187,2187,2187,2187,1883,2041,1883,2041,1883
2041,1883,2187,1883,2041,1883,2041,2187,2187,2187,2273,2187,2187,2187,2187,1883,2041,1883,2041,1883
2041,1883,2187,1883,2041,1883,2041,1883,1883,1883,1883,1883,1883,1883,1883,1883,2041,1883,2041,1883
2041,1883,1883,1883,2041,1883,2041,1883,2041,2041,2041,2041,2041,2041,2041,1883,2041,1883,2041,1883
2041,1883,2041,1883,2041,1883,2041,1883,2187,2187,2187,2187,2187,2187,2041,2084,2041,1883,2187,1883
2041,1883,2041,1883,2041,1883,2041,1883,2187,2187,2187,2187,2187,2187,2041,1896,2187,1883,2187,1883
2041,1883,2041,1883,2041,1883,2187,1883,1883,1883,1883,1883,1883,1883,2041,1883,2187,1883,1883,1883
2041,1883,2187,1883,2041,1883,2187,1883,2084,1883,1883,1883,1883,1883,2041,1883,1883,1883,2041,2044
2041,1883,1883,1883,2041,1883,1883,1883,1896,1883,1883,1883,1883,1883,2041,1883,1883,1883,2041,1938
2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041
2136,2187,2187,2187,2136,2187,1716,2187,2136,2187,2187,2187,2136,2187,1716,2187,2136,2187,2187,2187
2273,2187,2187,2187,2273,2187,2187,2187,2273,2187,2187,2187,2273,2187,2187,2187,2273,2187,2187,2187
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
