5913,5913,5913,5880,5913,5913,5913,5913,5913,5913,5913,5880,5913,5913
5913,2768,2768,2768,2768,2768,2768,2768,2768,2768,2768,5926,2768,5913
5913,2768,2768,2768,2768,5913,2768,2768,2768,5913,2747,2768,598,5913
5913,852,4441,4441,5475,5913,1245,1306,1245,5880,436,1306,1649,5913
5913,54,4263,4263,54,5913,1313,1464,1313,5913,1313,1464,1313,5913
5913,54,54,54,54,5913,375,375,375,2768,375,375,375,5913
5913,561,561,54,54,5913,54,54,54,54,54,54,54,5913
5913,5913,5880,5880,5913,5913,54,54,54,5880,5913,5880,5913,5913
2768,2768,2768,2768,2768,5913,54,54,54,5880,2768,2768,2768,2768
2768,2768,2768,2768,2768,5913,5913,5913,5913,5913,2768,2768,2768,2768
1,1,1,1,1,2768,2768,2768,2768,2768,1,1,1,1
1,1,1,1,1,2768,2768,2590,2768,2768,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
