69,69,73,69,69,69,69,69,69,69,69,69,69,69,69,69
69,70,74,70,70,70,70,70,70,70,70,70,70,42,70,69
69,70,66,9,9,70,70,70,70,9,70,69,70,70,70,69
69,5,59,10,10,59,30,59,59,10,59,69,59,126,126,69
69,59,59,52,59,59,30,30,30,30,32,69,59,59,126,69
69,59,60,41,60,59,65,65,65,65,65,69,59,59,59,69
69,59,59,59,59,59,59,52,59,59,59,69,30,30,30,69
69,59,60,4,60,59,60,41,60,59,59,70,65,65,65,69
69,59,59,59,59,59,59,59,59,59,59,59,59,59,59,69
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70,70,70,70,105,70,70
