1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,27,1,1,1,1,1,1,1,1,1
5704,2671,2671,2671,2671,2671,2671,2671,2671,647,2671,2671,5704,27,1,1,1,1,1,1,1,1,1
5704,2671,2671,2671,678,678,2671,2671,2669,2937,2937,2671,5704,27,1,1,1,1,1,1,1,1,1
5704,582,582,811,294,294,57,801,2792,2701,2834,811,5704,27,1,1,1,1,1,1,1,1,1
5704,1520,57,57,57,57,57,57,57,57,57,57,5704,27,1,1,1,1,1,1,1,1,1
5704,5704,5704,5704,5704,1520,57,57,738,738,738,57,5704,27,1,1,1,1,1,1,1,1,1
5704,2671,2671,2671,5704,801,57,57,856,1961,2053,57,5704,27,1,1,1,1,1,1,1,1,1
5704,2671,2672,2671,5704,801,801,57,57,738,738,57,5704,27,1,1,1,1,1,1,1,1,1
5704,1520,57,801,5704,1520,57,57,57,57,2701,57,5704,27,1,1,1,1,1,1,1,1,1
5704,5704,5704,5704,5704,5704,5704,1520,57,57,57,57,5704,27,1,1,1,1,1,1,1,1,1
5704,2671,2671,2671,2671,2671,5704,1520,57,57,57,57,5704,27,1,1,1,1,1,1,1,1,1
5704,677,2671,2672,2671,2671,5704,1520,1625,1625,1625,57,5704,27,1,1,1,1,1,1,1,1,1
5704,168,4597,1625,3243,1625,2671,5475,1625,1625,1625,5475,5704,27,1,1,1,1,1,1,1,1,1
5704,1625,4749,1625,4749,1625,2671,58,1625,1625,1625,1520,5704,27,1,1,1,1,1,1,1,1,1
5704,1625,1625,1625,1625,1625,1520,57,57,57,57,57,5704,27,1,1,1,1,1,1,1,1,1
5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,5704,27,1,1,1,1,1,1,1,1,1
2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,27,1,1,1,1,1,1,1,1,1
2671,2671,2671,2671,2671,2671,2671,2671,2671,5981,2671,2671,2671,27,1,1,1,1,1,1,1,1,1
