5913,5913,5913,5913,5913,5913,5913,5913,5913,5913,5913,5913,5913,5913
5913,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,5926,2744,5913
5913,2744,2744,2744,2744,5913,2744,2744,2744,5913,2744,2744,1696,5913
5913,855,4441,4441,5150,5913,54,1306,54,5913,436,1306,360,5913
5913,54,4263,4263,54,5913,1313,1464,1313,5913,1313,1464,1313,5913
5913,54,54,54,54,5913,375,375,375,2744,375,375,375,5913
5913,561,561,54,54,5913,54,54,54,54,54,54,54,5913
5913,5913,5913,5913,5913,5913,54,54,54,5913,5913,5913,5913,5913
2744,2744,2744,2744,2744,5913,54,54,54,5913,2744,2744,2744,2744
2744,2744,2744,2744,2744,5913,5913,5913,5913,5913,2744,2744,2744,2744
1,1,1,1,1,2744,2744,2744,2744,2744,1,1,1,1
1,1,1,1,1,2744,2744,2589,2744,2744,1,1,1,1
