1,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,1
3587,3587,6012,6012,6012,6012,6012,6012,6012,6012,6012,3587,3587
3587,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,3587
3587,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,3587
3587,6012,76,76,76,76,76,76,76,76,76,6012,3587
3587,76,1189,1189,1189,1190,1190,1189,1189,1190,3790,76,3587
3587,1189,1189,3790,1190,2677,2677,2677,1190,3790,1188,3790,3587
3587,3790,1188,1188,2677,1075,484,2679,2677,1188,3790,3790,3587
3587,1188,3790,2677,2677,1080,2508,1078,2677,2677,3790,1188,3587
3587,1188,1188,76,2677,2677,2520,2677,2677,76,3790,1188,3587
3587,3790,1188,1188,76,76,2677,76,76,1188,1188,3790,3587
3587,3790,1188,3790,1188,3587,2520,3587,1189,3790,3790,1188,3587
3587,1190,3790,1189,3790,3587,4118,3587,3790,1190,1189,1190,3587
3587,3587,1,3790,1188,3587,2507,3587,1188,3790,1,3587,3587
6012,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012,6012
