5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881
5881,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,5881
5881,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,5881
5881,561,561,561,561,3044,5970,5970,5970,5970,5970,2828,5881
5881,561,561,561,54,3044,5970,2828,5970,5970,5970,5970,5881
5881,54,561,54,54,3044,5970,5970,5970,2828,5970,5970,5881
5881,54,54,54,54,3044,5970,5970,5970,5970,5970,5970,5881
5881,5881,5881,5881,54,939,939,939,939,939,939,939,5881
5881,2744,2744,2744,54,54,54,54,54,54,54,54,5881
5881,2744,1694,2744,2828,54,561,561,54,54,54,54,5881
5881,855,235,54,54,54,561,561,561,54,54,54,5881
5881,959,54,54,54,561,561,561,561,54,54,54,5881
5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881
2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744
2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,2589,2744,2744
