1,1,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,1,1,1,1,1
1,1,2103,459,459,459,459,459,459,459,1914,459,1914,459,459,459,459,459,459,459,2103,1,1,1,1,1
1,1,2103,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,2103,1,1,1,1,1
2103,2103,2103,60,60,60,60,60,60,60,60,2144,60,60,60,60,60,60,60,60,2103,2103,2103,1,1,1
2103,459,459,60,2103,1988,2103,60,60,60,60,5665,60,60,60,60,2103,2103,2103,60,459,459,2103,1,1,1
2103,145,145,60,2103,1481,2103,60,60,2503,4893,4561,4891,2503,60,60,2103,2103,2103,60,145,145,2103,1,1,1
2103,60,60,60,2103,2103,2103,60,60,60,4856,3446,4840,60,60,60,2103,2103,2103,60,60,60,2103,1,1,1
2103,60,60,60,459,1914,459,60,60,2503,4696,4751,1040,2503,60,60,459,1914,459,60,60,60,2103,1,1,1
2103,2103,2103,60,145,145,145,60,60,60,60,2503,60,60,60,60,145,145,145,60,2103,2103,2103,1,1,1
459,459,2103,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,2103,459,459,1,1,1
145,145,2103,2103,2103,60,60,60,60,2103,2103,2103,2103,2103,60,60,60,60,2103,2103,2103,145,145,1,1,1
1,1,459,459,2103,60,60,60,60,2103,1914,459,1914,2103,60,60,60,60,2103,459,459,1,1,1,1,1
1,1,145,145,2103,2103,2103,2103,2103,2103,145,691,145,2103,2103,2103,2103,2103,2103,145,145,1,1,1,1,1
1,1,1,1,459,459,459,459,459,459,1,1,1,459,459,459,459,459,459,1,1,1,1,1,1,1
1,1,1,1,145,145,145,145,145,145,1,1,1,145,145,145,145,145,145,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2103,2103,2103,2103,2103,2103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2103,1914,459,459,1914,2103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2103,2103,2103,2103
2103,145,145,145,145,2103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2103,459,459,2103
2103,1045,60,60,1613,2103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2103,145,145,2103
2103,60,60,60,60,2103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2103,60,60,2103
2103,60,60,60,1613,2103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2103,60,1613,2103
2103,2103,2103,2103,2103,2103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2103,2103,2103,2103
459,459,459,459,459,459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,459,459,459,459
145,145,145,145,145,145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,145,145,145,145
