1,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,1
5270,5270,5489,5489,5489,5489,5489,5489,5489,5489,5489,5270,5270
5270,5489,5489,5489,5489,5489,5489,5489,5489,5489,5489,5489,5270
5270,5489,4716,4716,4716,1250,1250,1250,4716,4716,4716,5489,5270
5270,4716,3444,3444,1250,1250,1250,1250,1250,3444,3444,4716,5270
5270,3444,3444,3444,1250,1250,3941,1250,1250,3444,3444,3444,5270
5270,3444,3444,3444,1250,1250,1250,1250,1250,3444,3444,3444,5270
5270,5270,3444,3444,4716,1250,1250,1250,4716,3444,3444,5270,5270
5489,5270,5270,5270,5270,5270,1250,5270,5270,5270,5270,5270,5489
5489,5489,5489,5489,5489,5270,2518,5270,5489,5489,5489,5489,5489
1,5489,5489,5489,5489,5270,1250,5270,5489,5489,5489,5489,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,1250,5270,1,1,1,1,1
1,1,1,1,1,5270,5270,5270,1,1,1,1,1
1,1,1,1,1,5489,5489,5489,1,1,1,1,1
1,1,1,1,1,5489,2561,5489,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
