5881,5881,5881,5881,5881,5881,5881,1,1,1
5881,2744,2744,2744,2744,2744,5881,1,1,1
5881,2744,2744,2559,2744,2744,5881,1,1,1
5881,2744,5881,2710,5881,2744,5881,1,1,1
5881,54,2744,3120,2744,54,5881,1,1,1
5881,54,1302,54,1302,54,5881,1,1,1
5881,54,1302,1302,1302,54,5881,1,1,1
5881,5881,54,54,54,5881,5881,1,1,1
2744,5881,54,54,54,5881,2744,1,1,1
2744,5881,54,54,54,5881,2744,1,1,1
2744,5881,54,54,54,5881,2744,1,1,1
1,5881,54,54,54,5881,1,1,1,1
1,5881,54,2828,54,5881,1,1,1,1
1,5881,54,2828,54,5881,5881,1,5881,1
1,5881,54,54,54,2744,2744,2710,5881,1
1,5881,54,54,54,2744,2744,3120,5881,1
1,5881,54,54,54,2744,2744,54,5881,1
1,5881,54,54,54,54,54,54,5881,1
1,5881,5881,5881,5881,5881,5881,5881,5881,1
1,2744,2744,2744,2744,2744,2744,2744,2744,1
1,2744,2744,2744,2744,2744,2744,2744,2744,1
1,2744,2744,2744,2744,2744,2744,2744,2744,1
